StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,sna,StationName_En,longitude,latitude,GeoHash,StationAddress_Zh_tw,StationAddress_En
TPE500101162,500101162,TPE,25,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_忠孝東路四段223巷口(市民大道側),"YouBike2.0_Ln. 223, Sec. 4, Zhongxiao E. Rd. Intersection",121.55291,25.04427,wsqqqp0jk,忠孝東路四段223巷77號北側,"No. 77, Ln. 223, Sec. 4, Zhongxiao E. Rd. (North)"
TPE500101163,500101163,TPE,15,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_瑞安街208巷,"YouBike2.0_Ln. 208, Rui'an St.",121.54053,25.02979,wsqqmsx15,瑞安街208巷39號對面,"No. 39, Ln. 208, Rui'an St. (Opposite)"
TPE500101165,500101165,TPE,17,2,2025-05-27T10:41:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_樂利路21巷口,"YouBike2.0_Ln. 21, Leli Rd. Intersection",121.55132,25.0277,wsqqmunuz,樂利路25號,"No. 25, Leli Rd."
TPE500101166,500101166,TPE,54,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運科技大樓站(台北教育大學),YouBike2.0_MRT Technology Building Station,121.54417,25.02472,wsqqmg9g8,和平東路二段134號前,"No. 134, Sec. 2, Heping E. Rd."
TPE500101167,500101167,TPE,45,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運國父紀念館站(2號出口),YouBike2.0_MRT S.Y.S Memorial Hall Stataion(Exit 2.),121.55745,25.04122,wsqqqne7t,忠孝東路四段/光復南路口(西南側),"Sec. 4, Jhongsiao E. Rd. & Guangfu S. Rd. Intersection (Southwest)"
TPE500101168,500101168,TPE,36,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_仁愛醫院,YouBike2.0_Taipei City Hospital Renai Branch,121.54587,25.03756,wsqqmvgn2,仁愛路四段/大安路一段口(西南側),"Sec. 4, Ren'ai Rd. & Sec. 1, Da'an Rd. Intersection (Southwest)"
TPE500101169,500101169,TPE,49,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運信義安和站(4號出口),YouBike2.0_MRT Xinyi Anhe Sta.(Exit.4),121.55378,25.03305,wsqqqj0u0,信義路四段252號前,"No. 252, Sec. 4, Sinyi Rd."
TPE500101170,500101170,TPE,36,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_成功國宅,YouBike2.0_Chengong Public Housing,121.54668,25.02681,wsqqmggxd,和平東路三段1巷/四維路198巷口(西北側),"Ln. 1, Sec. 3, Heping E. Rd. & Ln. 198, Sihwei Rd. Intersection (Northwest)"
TPE500101171,500101171,TPE,33,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_仁愛延吉街口,YouBike2.0_Renai & Yanji Intersection,121.55564,25.03748,wsqqqjfjg,仁愛路四段376號前,"No. 376, Sec. 4, Ren'ai Rd."
TPE500101172,500101172,TPE,33,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運信義安和站(1號出口),YouBike2.0_MRT Xinyi Anhe Sta.(Exit.1),121.55265,25.03331,wsqqmvpvw,信義路四段225號前,"No. 225, Sec. 4, Sinyi Rd."
